school_name,Address,postal_code,mrt_desc,bus_desc,dgp_code,zone_code,City,State,latitude,longitude
TECK GHEE PRIMARY SCHOOL,1    ANG MO KIO STREET 32,569299,Ang Mo Kio & Bishan,"22,24,135,853,162,262,159",ANG MO KIO,SOUTH,Singapore,Singapore,1.365650185,103.8510098
TECK WHYE PRIMARY SCHOOL,11   TECK WHYE WALK,688261,Chua Chu Kang MRT & LRTs,"975, 190 & 985",CHOA CHU KANG,WEST,Singapore,Singapore,1.383558303,103.7536828
TECK WHYE SECONDARY SCHOOL,31   TECK WHYE CRESCENT,688848,"CHUA CHU KANG MRT, PHOENIX LRT","975, 985, 190, 982E",CHOA CHU KANG,WEST,Singapore,Singapore,1.383348181,103.7551824
TELOK KURAU PRIMARY SCHOOL,50   BEDOK RESERVOIR RD,479239,Kaki Bukit MRT (nearest),"8, 15, 22, 55, 65, 60,66, 87 & 506",BEDOK,EAST,Singapore,Singapore,1.330913472,103.9113491
TEMASEK JUNIOR COLLEGE,22   BEDOK SOUTH ROAD,469278,BEDOK MRT,"12, 12E, 16, 31, 38, 47, 137, 155, 196, 196A, 197, 229",BEDOK,EAST,Singapore,Singapore,1.318461906,103.935598
TEMASEK PRIMARY SCHOOL,501  BEDOK SOUTH AVE 3,469300,Tanah Merah MRT,"229, 10, 14, 13, 48, 43, 506",BEDOK,EAST,Singapore,Singapore,1.317706782,103.9455907
TEMASEK SECONDARY SCHOOL,600  UPPER EAST COAST ROAD,465561,"BEDOK MRT, TANAH MERAH MRT","10, 10E, 13, 14, 25, 43, 46, 55, 137, 229, 506, 531, 853",BEDOK,EAST,Singapore,Singapore,1.315770985,103.9471475
TOWNSVILLE PRIMARY SCHOOL,3    ANG MO KIO AVE 10,569730,"Bishan MRT, Ang Mo Kio MRT Stations","45, 50, 55, 261, 548, 22, 24, 128, 135, 159, 162, 162M, 262, 853",ANG MO KIO,SOUTH,Singapore,Singapore,1.360032635,103.8538261
UNITY PRIMARY SCHOOL,21   CHOA CHU KANG CRESCENT,688268,Yew Tee MRT,TIBs 302,CHOA CHU KANG,WEST,Singapore,Singapore,1.40282339,103.7469934
UNITY SECONDARY SCHOOL,20   CHOA CHU KANG STREET 62,689143,YEW TEE MRT,307,CHOA CHU KANG,WEST,Singapore,Singapore,1.399642468,103.7460361
VALOUR PRIMARY SCHOOL,52   Sumang Walk,828674,na,na,PUNGGOL,EAST,Singapore,Singapore,1.411563565,103.8989704
VICTORIA JUNIOR COLLEGE,20   MARINE VISTA,449035,"Nearest MRT Stations:  Kembangan, Eunos","13, 16, 31, 36, 43, 48, 55, 135, 196, 196e, 197",BEDOK,EAST,Singapore,Singapore,1.305717965,103.919531
VICTORIA SCHOOL,2    SIGLAP LINK,448880,"BEDOK MRT, PAYA LEBAR MRT","31, 36, 43, 47, 48, 55, 135, 155, 196, 196E, 197, 401, 853C",BEDOK,EAST,Singapore,Singapore,1.308356824,103.9276115
WATERWAY PRIMARY SCHOOL,70   Punggol Drive,828802,Kadaloor LRT Station,"50, 381",PUNGGOL,EAST,Singapore,Singapore,1.39915421,103.9186708
WELLINGTON PRIMARY SCHOOL,10   WELLINGTON CIRCLE,757702,Sembawang MRT,"980, 856, 859",SEMBAWANG,NORTH,Singapore,Singapore,1.451933871,103.8223206
